,location
986,"['Pernambuco, Brasil']"
987,"['Guarapari, Brasil']"
988,['Capital da Ursal']
989,"['Distrito Federal, Brasil']"
990,['Venezuela']
991,['Brasil']
992,['brasil']
993,"['Blumenau, Brasil']"
994,[None]
995,['Sao Paulo']
996,[None]
997,['Quirinópolis - Goiás - Brazil']
998,['Long Island NY']
999,[None]
1000,[None]
