,tweets
145,"['RT @filipetrielli: Porra, se tem uma coisa que o cara que votou no Bolsonaro sabia (e queria!) era que ele expulsaria cúmplice de ditador V…']"
146,"['RT @zeca_dirceu: Moro, perseguiu Lula e cravou o golpe. Depois, foi cúmplice e fez parte deste governo neofascista representado por Jair Bo…']"
147,"['RT @BrazilFight: ROLANDO NAS REDES\n""Urgente, STF vai investigar porque Jair Bolsonaro indicou Michelle Bolsonaro para ser primeira-dama.""\nD…']"
148,['RT @JorgeLMendezde1: #Venezuela denunció a #Brasil por forzar la salida de su personal diplomático. Bolsonaro que sigue al pie de la letra…']
149,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
150,['RT @taoquei1: Aparentemente Moro pegou toda a conversa que teve com o presidente durante todo seu tempo como ministro e catalogou. Essa é a…']
151,"['RT @ClioAlves17: @claudioedantas #FechadoComBolsonaroAte2026 \n#MoroTraidor \n#MaiaTemQueCair \nBolsonaro, não somos mais Seus Eleitores. Agor…']"
152,['RT @Leitadas_L0en: Mas não tinha um acordão entre Bolsonaro e STF?']
153,"['RT @allan_frutuozo: Moro compilou 15 meses de conversas com o presidente Bolsonaro, com claro intuito de acusar o presidente no futuro. Ess…']"
154,"['... Ledo engano, o povo se virou contra ele e num passe de mágica Moro que antes era considerado herói, vira um ant… https://t.co/P8lXTnVCSx']"
155,['RT @MarceloFreixo: A fórmula de Bolsonaro é essa: intervenção na PF para salvar os filhos da cadeia e loteamento de cargos para o centrão p…']
156,['O povo é soberano. \n#GolpeDoEstado']
157,['RT @leandroruschel: Só com golpe para derrubar.\n\nhttps://t.co/5oh8xhSKMH']
158,"['Veja tbém! O Brasil, EUA, França, Suécia etc., todos esses países citados já tem a CURA d REMÉDIO indicado Por Bols… https://t.co/VIjxJFQp8W']"
159,"['@Klausnumber4 @tinasouzario @radiobandnewsfm Se, ele provar que o Bolsonaro é CORRUPTO como o Lula, com toda a cert… https://t.co/SqLXxb7A2q']"
160,['RT @Haddad_Fernando: Moro não sabe se delata Bolsonaro para não se incriminar: a prova de que a terra é redonda!']
161,"['RT @RenovaMidia: “Estão destruindo empregos no #Brasil de forma irresponsável. Até porque a curva [de contágio] não tem achatado”, disse o…']"
162,['todo país tem seu Bolsonaro']
163,['RT @__uselesss: reclama q o bolsonaro ta nem aí mas fica de resenha todo final de semana com 30 cria junto vai se fude?']
164,"['RT @PastorMalafaia: VAMOS VER SE VOU ACERTAR ! Amanhã a Globo no Fantastico , dando espaço para Moro atacar Bolsonaro . Será que vou acerta…']"
165,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
